OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b14001_schoolenrollment,acs_b14001_schoolenrollment,census,2011-2015 ACS: School Enrollment By Level Of School For The Population 3 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: School Enrollment subject area. Prov ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b14001_schoolenrollment
acs_b15002_sexeducationalattainment,acs_b15002_sexeducationalattainment,census,2011-2015 ACS: Sex By Educational Attainment For The Population 25 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Educational Attainment subject area. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b15002_sexeducationalattainment
acs_b16001_languageathome,acs_b16001_languageathome,census,2011-2015 ACS: Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b16001_languageathome
acs_b16002_householdlanguage,acs_b16002_householdlanguage,census,2011-2015 ACS: "Household Language By Households In Which No One 14 And Over Speaks English Only Or Speaks A Language Other Than English At Home And Speaks English ""Very Well""" (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b16002_householdlanguage
acs_b16005_nativitybylanguage,acs_b16005_nativitybylanguage,census,2011-2015 ACS: Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Language subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b16005_nativitybylanguage
acs_b17001_povertystatus,acs_b17001_povertystatus,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001_povertystatus
acs_b17001a_povertysexagewhite,acs_b17001a_povertysexagewhite,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001a_povertysexagewhite
acs_b17001b_povertysexageblack,acs_b17001b_povertysexageblack,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Black Or African American Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001b_povertysexageblack
acs_b17001c_povertysexageamerind,acs_b17001c_povertysexageamerind,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001c_povertysexageamerind
acs_b17001d_povertysexageasian,acs_b17001d_povertysexageasian,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001d_povertysexageasian
acs_b17001e_povertysexagehawaiianpi,acs_b17001e_povertysexagehawaiianpi,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001e_povertysexagehawaiianpi
acs_b17001f_povertysexageotherrace,acs_b17001f_povertysexageotherrace,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001f_povertysexageotherrace
acs_b17001g_povertysexage2races,acs_b17001g_povertysexage2races,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001g_povertysexage2races
acs_b17001h_povertysexagewhnothisp,acs_b17001h_povertysexagewhnothisp,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001h_povertysexagewhnothisp
acs_b17001i_povertysexagehispanic,acs_b17001i_povertysexagehispanic,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001i_povertysexagehispanic
acs_b17010_povertyfamily,acs_b17010_povertyfamily,census,2011-2015 ACS: Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17010_povertyfamily
acs_b17020a_povertyagewhite,acs_b17020a_povertyagewhite,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (White Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020a_povertyagewhite
acs_b17020b_povertyageblack,acs_b17020b_povertyageblack,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Black Or African American Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020b_povertyageblack
acs_b17020c_povertyageamerind,acs_b17020c_povertyageamerind,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020c_povertyageamerind
acs_b17020d_povertyageasian,acs_b17020d_povertyageasian,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Asian Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020d_povertyageasian
acs_b17020e_povertyagehawaiianpi,acs_b17020e_povertyagehawaiianpi,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020e_povertyagehawaiianpi
acs_b17020f_povertyageotherraces,acs_b17020f_povertyageotherraces,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Some Other Race Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020f_povertyageotherraces
acs_b17020g_povertyage2races,acs_b17020g_povertyage2races,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Two Or More Races) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020g_povertyage2races
acs_b17020h_povertyagewhitenothisp,acs_b17020h_povertyagewhitenothisp,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020h_povertyagewhitenothisp
acs_b17020i_povertyagehispanic,acs_b17020i_povertyagehispanic,census,2011-2015 ACS: Poverty Status In The Past 12 Months By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020i_povertyagehispanic
acs_b17024_ageratioincometopoverty,acs_b17024_ageratioincometopoverty,census,2011-2015 ACS: Age By Ratio Of Income To Poverty Level In The Past 12 Months (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Poverty subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17024_ageratioincometopoverty
acs_b19001_householdincome,acs_b19001_householdincome,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001_householdincome
acs_b19001a_householdincomewhite,acs_b19001a_householdincomewhite,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001a_householdincomewhite
acs_b19001b_householdincomeblack,acs_b19001b_householdincomeblack,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001b_householdincomeblack
acs_b19001c_householdincomeamerind,acs_b19001c_householdincomeamerind,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001c_householdincomeamerind
acs_b19001d_householdincomeasian,acs_b19001d_householdincomeasian,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001d_householdincomeasian
acs_b19001e_hsehldincomehawaiianpi,acs_b19001e_hsehldincomehawaiianpi,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001e_hsehldincomehawaiianpi
acs_b19001f_householdincomeotherrace,acs_b19001f_householdincomeotherrace,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Some Other Race Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001f_householdincomeotherrace
acs_b19001g_householdincome2races,acs_b19001g_householdincome2races,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Two Or More Races Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001g_householdincome2races
acs_b19001h_hsehldincomewhitenothisp,acs_b19001h_hsehldincomewhitenothisp,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (White Alone; Not Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001h_hsehldincomewhitenothisp
acs_b19001i_householdincomehispanic,acs_b19001i_householdincomehispanic,census,2011-2015 ACS: Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19001i_householdincomehispanic
acs_b19013_medianhouseholdincome,acs_b19013_medianhouseholdincome,census,2011-2015 ACS: Median Household Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19013_medianhouseholdincome
acs_b19019_medianhsehldincomebysize,acs_b19019_medianhsehldincomebysize,census,2011-2015 ACS: Median Household Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) By Household Size (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19019_medianhsehldincomebysize
acs_b19101_familyincome,acs_b19101_familyincome,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101_familyincome
acs_b19101a_familyincomewhite,acs_b19101a_familyincomewhite,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101a_familyincomewhite
acs_b19101b_familyincomeblack,acs_b19101b_familyincomeblack,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101b_familyincomeblack
acs_b19101c_familyincomeamerind,acs_b19101c_familyincomeamerind,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101c_familyincomeamerind
acs_b19101d_familyincomeasian,acs_b19101d_familyincomeasian,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101d_familyincomeasian
acs_b19101e_familyincomehawaiianpi,acs_b19101e_familyincomehawaiianpi,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101e_familyincomehawaiianpi
acs_b19101f_familyincomeotherrace,acs_b19101f_familyincomeotherrace,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Some Other Race Alone Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101f_familyincomeotherrace
acs_b19101g_familyincome2races,acs_b19101g_familyincome2races,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Two Or More Races Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101g_familyincome2races
acs_b19101h_familyincomewhitenothisp,acs_b19101h_familyincomewhitenothisp,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (White Alone; Not Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101h_familyincomewhitenothisp
acs_b19101i_familyincomehispanic,acs_b19101i_familyincomehispanic,census,2011-2015 ACS: Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19101i_familyincomehispanic
acs_b19113_medianfamilyincome,acs_b19113_medianfamilyincome,census,2011-2015 ACS: Median Family Income In The Past 12 Months (In 2015 Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),US Census American Community Survey (2011-2015) data table for: Income subject area. Provides inform ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b19113_medianfamilyincome
