CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1701845,16000104099,2016104099,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 11:41:51 PM,11XX BLOCK OF 8 AV,E,E3,8200.2000,-122.32945,47.609016,"(47.609016, -122.32945)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701849,16000103396,2016103396,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:40:52 PM,38 AV S / S ALASKA ST,R,R3,10100.2019,-122.28491,47.56074,"(47.56074, -122.28491)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 01:01:59 PM
1701838,16000104104,2016104104,161,TRESPASS,TRESPASS,TRESPASS,03/25/2016 11:40:13 PM,10XX BLOCK OF NE 45 ST,U,U2,5301.3004,-122.31711,47.661297,"(47.661297, -122.31711)",TRESPASS,TRESPASS,TRESPASS,
1701842,16000104077,2016104077,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:39:46 PM,E GREEN LAKE DR N / BAGLEY AV N,J,J3,2700.2018,-122.33159,47.68263,"(47.68263, -122.33159)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701843,16000104004,2016104004,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:37:16 PM,5XX BLOCK OF S WELLER ST,K,K3,9100.2009,-122.32702,47.597515,"(47.597515, -122.32702)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1701839,16000104091,2016104091,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/25/2016 11:36:53 PM,5 AV S / S KING ST,K,K3,9100.2003,-122.327675,47.598354,"(47.598354, -122.327675)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1701840,16000104086,2016104086,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 11:30:16 PM,27XX BLOCK OF NE 91 ST,U,U3,2100.2013,-122.297356,47.694782,"(47.694782, -122.297356)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701834,16000104102,2016104102,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/25/2016 11:28:14 PM,19XX BLOCK OF WESTERN AV,M,M1,8100.3011,-122.34288,47.609814,"(47.609814, -122.34288)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1701835,16000104096,2016104096,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:26:35 PM,11XX BLOCK OF 2 AV,K,K1,8100.2033,-122.336105,47.606228,"(47.606228, -122.336105)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701836,16000104095,2016104095,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/25/2016 11:24:21 PM,14XX BLOCK OF 1 AV,M,M1,8100.3003,-122.33956,47.608326,"(47.608326, -122.33956)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1701837,16000104080,2016104080,161,TRESPASS,TRESPASS,TRESPASS,03/25/2016 11:23:33 PM,LAKE WASHINGTON BV S / 49 AV S,R,R3,10100.1003,-122.27201,47.567642,"(47.567642, -122.27201)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701832,16000104057,2016104057,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 11:19:13 PM,BELLEVUE AV / E OLIVE ST,E,E1,7402.3008,-122.32679,47.61634,"(47.61634, -122.32679)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701831,16000104088,2016104088,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:15:37 PM,MERCER ST / 5 AV N,Q,Q3,7200.1015,-122.34757,47.62456,"(47.62456, -122.34757)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1701827,16000104042,2016104042,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 11:14:01 PM,4XX BLOCK OF FEDERAL AV E,E,E1,7500.3006,-122.31886,47.62255,"(47.62255, -122.31886)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701833,16000104034,2016104034,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/25/2016 11:12:53 PM,143XX BLOCK OF 30 AV NE,L,L1,200.1000,-122.29654,47.732346,"(47.732346, -122.29654)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1701824,16000104079,2016104079,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",03/25/2016 11:12:12 PM,E HARRISON ST / BROADWAY E,E,E1,7401.2007,-122.32091,47.621986,"(47.621986, -122.32091)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1701823,16000103600,2016103600,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 11:09:13 PM,132XX BLOCK OF 1 AV NW,N,N1,401.2017,-122.358246,47.726196,"(47.726196, -122.358246)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701829,16000104035,2016104035,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 11:08:25 PM,117XX BLOCK OF LAKE CITY WY NE,L,L3,700.2016,-122.29781,47.714912,"(47.714912, -122.29781)","PANHANDLING, AGGRESSIVE",DISTURBANCES,DISTURBANCES,
1701830,16000103953,2016103953,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/25/2016 11:07:53 PM,1 AV S / S HOLGATE ST,O,O1,9300.2060,-122.3342,47.5861,"(47.5861, -122.3342)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/25/2016 09:46:31 PM
1701825,16000104075,2016104075,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/25/2016 11:07:18 PM,XX BLOCK OF S MAIN ST,K,K2,9200.2021,-122.33482,47.600044,"(47.600044, -122.33482)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1701826,16000104073,2016104073,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 11:07:10 PM,24XX BLOCK OF 1 AV,D,D1,8001.2007,-122.34828,47.61442,"(47.61442, -122.34828)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701816,16000104061,2016104061,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:06:55 PM,14 AV / E COLUMBIA ST,G,G2,8600.1006,-122.31415,47.609215,"(47.609215, -122.31415)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701828,16000104038,2016104038,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/25/2016 11:05:15 PM,42XX BLOCK OF PASADENA PL NE,U,U2,5200.1003,-122.321884,47.657818,"(47.657818, -122.321884)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1701815,16000104065,2016104065,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:04:00 PM,BROADWAY / E MARION ST,E,E2,8600.2005,-122.32076,47.610184,"(47.610184, -122.32076)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701814,16000104067,2016104067,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 11:02:48 PM,14XX BLOCK OF ELLIOTT AV W,Q,Q2,5802.2010,-122.37392,47.630882,"(47.630882, -122.37392)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701818,16000103980,2016103980,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 10:58:40 PM,15XX BLOCK OF 36 AV S,R,R2,9500.1051,-122.28681,47.588673,"(47.588673, -122.28681)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701821,16000103648,2016103648,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/25/2016 10:58:13 PM,56XX BLOCK OF 22 AV NW,B,B1,4700.4007,-122.38474,47.66982,"(47.66982, -122.38474)",TRU - THEFT,OTHER PROPERTY,THEFT,03/25/2016 09:54:34 PM
1701822,16000103632,2016103632,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/25/2016 10:57:36 PM,45XX BLOCK OF 25 AV NE,U,U3,4301.1014,-122.3009,47.66189,"(47.66189, -122.3009)",TRU - THEFT,OTHER PROPERTY,THEFT,03/25/2016 09:53:09 PM
1701820,16000103793,2016103793,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/25/2016 10:57:06 PM,WESTERN AV / ELLIOTT AV,D,D1,8100.3011,-122.34477,47.61117,"(47.61117, -122.34477)",TRU - THEFT,OTHER PROPERTY,THEFT,03/25/2016 10:08:15 PM
1701811,16000104049,2016104049,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:55:23 PM,21XX BLOCK OF 2 AV,D,D1,8002.1000,-122.343704,47.61289,"(47.61289, -122.343704)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701817,16000104059,2016104059,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/25/2016 10:54:12 PM,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1701812,16000104044,2016104044,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 10:53:07 PM,15 AV E / E ROY ST,C,C1,6400.2009,-122.31259,47.62526,"(47.62526, -122.31259)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701819,16000103895,2016103895,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/25/2016 10:51:31 PM,5XX BLOCK OF PINE ST,M,M2,8200.1003,-122.33593,47.611904,"(47.611904, -122.33593)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/25/2016 08:40:25 PM
1701813,16000104017,2016104017,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,03/25/2016 10:44:41 PM,48 AV S / S ORCHARD ST,S,S2,11101.2011,-122.27264,47.5383,"(47.5383, -122.27264)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,
1701805,16000104037,2016104037,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:43:01 PM,24XX BLOCK OF 4 AV,D,D2,7200.2013,-122.3457,47.616413,"(47.616413, -122.3457)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701804,16000104040,2016104040,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 10:42:46 PM,3 AV / PINE ST,M,M2,8100.2008,-122.3387,47.610744,"(47.610744, -122.3387)",FIGHT - JO - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1701806,16000104011,2016104011,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/25/2016 10:39:50 PM,56XX BLOCK OF 24 AV NW,B,B1,3200.3005,-122.38759,47.669823,"(47.669823, -122.38759)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1701807,16000103983,2016103983,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,03/25/2016 10:35:07 PM,3XX BLOCK OF PONTIUS AV N,D,D3,7300.1027,-122.33171,47.62139,"(47.62139, -122.33171)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
1701809,16000103981,2016103981,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,03/25/2016 10:33:15 PM,64XX BLOCK OF 32 AV NW,B,B1,3200.7018,-122.39838,47.675488,"(47.675488, -122.39838)","NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCES,DISTURBANCES,
1701808,16000103982,2016103982,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 10:31:42 PM,78XX BLOCK OF 1 AV NW,J,J2,2900.2000,-122.35798,47.68584,"(47.68584, -122.35798)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701798,16000104020,2016104020,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 10:31:39 PM,BROADWAY / CHERRY ST,E,E3,8500.2006,-122.320755,47.60807,"(47.60807, -122.320755)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1701810,16000103674,2016103674,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/25/2016 10:30:20 PM,11XX BLOCK OF N 94 ST,N,N3,1800.3000,-122.343254,47.69708,"(47.69708, -122.343254)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701802,16000103844,2016103844,064,SHOPLIFT,THEFT,SHOPLIFTING,03/25/2016 10:26:52 PM,26XX BLOCK OF SW BARTON ST,F,F2,11402.1028,-122.36731,47.521027,"(47.521027, -122.36731)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/25/2016 08:12:20 PM
1701799,16000104019,2016104019,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:25:45 PM,3XX BLOCK OF DEXTER AV N,D,D2,7200.1031,-122.34238,47.62147,"(47.62147, -122.34238)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701801,16000103949,2016103949,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 10:24:33 PM,84XX BLOCK OF 12 AV SW,F,F3,11300.4008,-122.35058,47.527412,"(47.527412, -122.35058)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 09:41:10 PM
1701787,16000104012,2016104012,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/25/2016 10:23:40 PM,3 AV / PINE ST,M,M2,8100.2008,-122.3387,47.610744,"(47.610744, -122.3387)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701803,16000103767,2016103767,050,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/25/2016 10:23:38 PM,37XX BLOCK OF CHEASTY BV S,R,R2,10001.3,-122.29921,47.571,"(47.571, -122.29921)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/25/2016 08:32:39 PM
1701800,16000103965,2016103965,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 10:22:19 PM,127XX BLOCK OF GREENWOOD AV N,N,N1,402.1004,-122.355545,47.722324,"(47.722324, -122.355545)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701788,16000104009,2016104009,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:19:27 PM,11XX BLOCK OF N 90 ST,N,N3,1800.3011,-122.344025,47.694183,"(47.694183, -122.344025)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1701794,16000103946,2016103946,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:17:15 PM,S MICHIGAN ST / 4 AV S,O,O3,10900.2070,-122.32959,47.545334,"(47.545334, -122.32959)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,
1701789,16000104003,2016104003,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 10:16:04 PM,LAKE WASHINGTON BV / E ALDER ST,G,G2,7800.1045,-122.28438,47.603626,"(47.603626, -122.28438)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701793,16000103973,2016103973,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/25/2016 10:15:58 PM,20XX BLOCK OF NE 85 ST,U,U1,2100.3008,-122.30628,47.6903,"(47.6903, -122.30628)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1701796,16000103791,2016103791,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/25/2016 10:09:18 PM,7XX BLOCK OF SUMMIT AV E,C,C1,6500.2010,-122.32532,47.625797,"(47.625797, -122.32532)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/25/2016 08:50:58 PM
1701797,16000103714,2016103714,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/25/2016 10:07:52 PM,10 AV S / S ELMGROVE ST,F,F1,11200.2048,-122.320175,47.530506,"(47.530506, -122.320175)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,
1701790,16000104000,2016104000,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/25/2016 10:07:19 PM,S BAYVIEW ST / 15 AV S,R,R1,9400.4013,-122.31341,47.581013,"(47.581013, -122.31341)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1701792,16000103990,2016103990,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:07:08 PM,11XX BLOCK OF 2 AV,K,K1,8100.2033,-122.336105,47.606228,"(47.606228, -122.336105)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701779,16000103979,2016103979,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:06:13 PM,DENNY WY / 8 AV,D,D2,7200.2001,-122.34137,47.618546,"(47.618546, -122.34137)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701785,16000103708,2016103708,061,THEFT - AUTO ACCESSORIES,CAR PROWL,CAR PROWL,03/25/2016 10:02:48 PM,15XX BLOCK OF E MADISON ST,C,C3,7900.4004,-122.31212,47.614773,"(47.614773, -122.31212)",TRU - THEFT,OTHER PROPERTY,THEFT,
1701781,16000103975,2016103975,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/25/2016 10:01:39 PM,DELRIDGE WY SW / SW HUDSON ST,F,F1,10800.3002,-122.36292,47.557465,"(47.557465, -122.36292)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1701791,16000103992,2016103992,064,SHOPLIFT,THEFT,SHOPLIFTING,03/25/2016 10:00:58 PM,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.4010,-122.324615,47.708603,"(47.708603, -122.324615)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
1701795,16000103846,2016103846,064,SHOPLIFT,THEFT,SHOPLIFTING,03/25/2016 10:00:53 PM,8XX BLOCK OF RAINIER AV S,G,G3,9400.2003,-122.31026,47.594215,"(47.594215, -122.31026)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/25/2016 08:48:01 PM
1701784,16000103794,2016103794,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/25/2016 09:56:43 PM,8XX BLOCK OF 19 AV S,G,G3,9400.2000,-122.30729,47.595192,"(47.595192, -122.30729)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
